task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,signal_block_required
SIG0001,AST0855,SEC030,Level Crossing Equipment,Interlocking Test,Signal interlocking mismatch,4,LOW,2025-01-05,2025-01-08,2025-02-12,10.7,7,LOW,Pending,False
SIG0002,AST0779,SEC029,Axle Counter,Communication Equipment Repair,Fiber break,3,MEDIUM,2025-02-06,2025-02-09,2025-02-24,12.0,10,MEDIUM,Pending,False
SIG0003,AST0818,SEC068,Track Circuit,Point Machine Servicing,Lock bar defect,4,LOW,2025-12-08,2025-12-08,2026-01-02,12.0,3,LOW,Completed,True
SIG0004,AST0822,SEC072,Communication Equipment,Point Machine Servicing,Motor fault,1,CRITICAL,2025-05-08,2025-05-08,2025-05-14,11.0,5,HIGH,Completed,True
SIG0005,AST0997,SEC022,Relay,Interlocking Test,Logic error,4,LOW,2025-04-04,2025-04-07,2025-05-18,9.6,4,LOW,Completed,True
SIG0006,AST0953,SEC053,Point Machine,Level Crossing Maintenance,Lighting defect,1,CRITICAL,2025-03-18,2025-03-18,2025-03-24,6.6,4,HIGH,Scheduled,True
SIG0007,AST0891,SEC066,Axle Counter,Communication Equipment Repair,Fiber break,3,MEDIUM,2025-09-16,2025-09-17,2025-10-14,9.4,9,MEDIUM,Completed,False
SIG0008,AST0795,SEC045,Axle Counter,Track Circuit Maintenance,Feed-end issue,3,MEDIUM,2025-05-09,2025-05-11,2025-05-30,9.3,2,MEDIUM,Completed,False
SIG0009,AST0826,SEC001,Track Circuit,Signal Inspection,Lamp failure,3,MEDIUM,2025-07-08,2025-07-11,2025-07-27,5.3,11,MEDIUM,Cancelled,True
SIG0010,AST0750,SEC075,Communication Equipment,Interlocking Test,Logic error,3,MEDIUM,2025-01-19,2025-01-21,2025-02-13,4.8,8,MEDIUM,In Progress,False
SIG0011,AST0809,SEC059,Point Machine,Communication Equipment Repair,OFC splice loss,5,LOW,2025-01-30,2025-02-02,2025-03-29,11.5,8,LOW,Pending,True
SIG0012,AST0701,SEC026,Relay,Track Circuit Maintenance,Bonding defect,4,LOW,2025-01-25,2025-01-27,2025-02-25,9.6,4,LOW,Completed,False
SIG0013,AST0831,SEC006,Level Crossing Equipment,Relay Replacement,Coil failure,4,LOW,2025-10-14,2025-10-15,2025-12-11,5.5,2,LOW,Scheduled,False
SIG0014,AST0916,SEC016,Interlocking,Interlocking Test,Logic error,4,LOW,2025-02-23,2025-02-25,2025-04-22,11.0,5,LOW,Pending,True
SIG0015,AST0967,SEC067,Level Crossing Equipment,Signal Inspection,Signal post tilt,3,MEDIUM,2025-10-01,2025-10-04,2025-11-03,7.6,5,MEDIUM,In Progress,False
SIG0016,AST0884,SEC059,Interlocking,Interlocking Test,Logic error,3,MEDIUM,2025-09-23,2025-09-26,2025-10-21,4.1,12,MEDIUM,Completed,True
SIG0017,AST0723,SEC048,Axle Counter,Interlocking Test,Route locking fault,4,LOW,2025-11-04,2025-11-07,2025-12-16,6.8,7,LOW,Completed,False
SIG0018,AST0946,SEC046,Track Circuit,Track Circuit Maintenance,Insulation failure,2,HIGH,2025-10-27,2025-10-28,2025-11-04,8.7,12,HIGH,Completed,True
SIG0019,AST0978,SEC003,Track Circuit,Signal Inspection,Lamp failure,4,LOW,2025-11-09,2025-11-09,2025-12-21,11.6,11,LOW,Pending,True
SIG0020,AST0904,SEC004,Signal,Communication Equipment Repair,Radio fault,5,LOW,2025-09-29,2025-09-29,2025-11-30,4.3,7,LOW,In Progress,True
SIG0021,AST0919,SEC019,Level Crossing Equipment,Signal Inspection,Aspect error,4,LOW,2025-10-20,2025-10-21,2025-11-18,6.2,7,LOW,Pending,False
SIG0022,AST0958,SEC058,Communication Equipment,Interlocking Test,Signal interlocking mismatch,3,MEDIUM,2025-10-02,2025-10-03,2025-11-01,4.1,14,MEDIUM,Scheduled,False
SIG0023,AST0810,SEC060,Track Circuit,Signal Inspection,Signal post tilt,3,MEDIUM,2025-03-16,2025-03-19,2025-04-18,9.7,3,MEDIUM,Pending,True
SIG0024,AST0978,SEC003,Track Circuit,Level Crossing Maintenance,Bell failure,4,LOW,2025-02-17,2025-02-18,2025-03-17,7.3,4,LOW,Pending,True
SIG0025,AST0850,SEC025,Track Circuit,Level Crossing Maintenance,Lighting defect,2,HIGH,2025-02-03,2025-02-06,2025-02-15,5.3,4,HIGH,In Progress,True
